                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4692,                 9.3117,                 1.8393,                0.38993,                0.62046,                0.57392,                0.42362,                 1.0753,                 3.1192,                 1.5299,             0.00032432,             0.00032432,             0.00032432
                      2,                 1.0343,                 1.9499,                 1.3798,                0.50375,                0.58312,                0.56388,                0.32096,                 1.3542,                  2.753,                 1.7051,             0.00059255,             0.00059255,             0.00059255
                      3,                 1.0039,                 1.3425,                 1.3354,                0.70513,                0.74973,                0.75867,                0.52009,                 1.1571,                 2.1846,                 1.4964,             0.00079477,             0.00079477,             0.00079477
                      4,                0.96914,                 1.0758,                 1.3183,                0.74744,                0.58728,                 0.7247,                 0.4835,                 1.1342,                  1.649,                 1.4589,               0.000703,               0.000703,               0.000703
                      5,                 0.9719,                0.96216,                 1.2991,                0.77166,                0.86146,                0.86911,                0.61096,                 1.1699,                 1.2469,                 1.5461,               0.000604,               0.000604,               0.000604
                      6,                0.86004,                0.79879,                 1.2122,                0.81519,                0.77125,                0.90406,                0.66727,                 1.0522,                 1.1379,                 1.4352,               0.000505,               0.000505,               0.000505
                      7,                0.81036,                 0.6857,                 1.1677,                0.91852,                0.93453,                0.94754,                0.70735,                 1.0506,                0.74779,                 1.4643,               0.000406,               0.000406,               0.000406
                      8,                0.77398,                0.60779,                 1.1306,                 0.9752,                0.95911,                0.96276,                 0.7346,                0.94629,                0.58313,                 1.3123,               0.000307,               0.000307,               0.000307
                      9,                0.72916,                0.54027,                 1.1129,                0.95283,                0.96361,                0.95733,                0.75043,                0.91376,                 0.5518,                  1.304,               0.000208,               0.000208,               0.000208
                     10,                0.66341,                0.46815,                 1.0708,                0.97019,                0.96667,                0.98019,                 0.7713,                0.87591,                0.49576,                 1.2632,               0.000109,               0.000109,               0.000109
